song_title,song_href
"All I Wanna Do (K)  (Feat. Hoody, Loco)",https://vibe.naver.com/track/8944061
iffy (Prod. GroovyRoom),https://vibe.naver.com/track/18969532
깡 Official Remix,https://vibe.naver.com/track/40482213
YACHT (k)  (Feat. Sik-K),https://vibe.naver.com/track/18441310
VVS (H1GHR Remix) (Feat. JUSTHIS) (Prod. GroovyRoom),https://vibe.naver.com/track/43986956
GIDDY UP (Prod. GroovyRoom),https://vibe.naver.com/track/28025399
멘토스 (Mentors),https://vibe.naver.com/track/44396493
몸매 (MOMMAE) (Feat. Ugly Duck),https://vibe.naver.com/track/5361832
Oscar,https://vibe.naver.com/track/42300577
좋아 (JOAH),https://vibe.naver.com/track/3774832
The Purge,https://vibe.naver.com/track/41952202
몸매 (MOMMAE) (Feat. Ugly Duck),https://vibe.naver.com/track/5806363
JOAH (Re-Mastered),https://vibe.naver.com/track/4409926
All The Way Up (K),https://vibe.naver.com/track/40174693
SOLO  (Feat. Hoody),https://vibe.naver.com/track/8944155
"My Last (Feat. 로꼬, GRAY)",https://vibe.naver.com/track/5510264
하루하루,https://vibe.naver.com/track/41852673
Afternoon,https://vibe.naver.com/track/42300580
DRIVE  (Feat. GRAY),https://vibe.naver.com/track/8943970
V,https://vibe.naver.com/track/21717530
Dank,https://vibe.naver.com/track/21717529
AUTOMATIC REMIX,https://vibe.naver.com/track/43126249
ON IT + BO$$,https://vibe.naver.com/track/5599435
뒤집어버려,https://vibe.naver.com/track/21294120
How We Rock,https://vibe.naver.com/track/41952195
Solo (Feat. Hoody),https://vibe.naver.com/track/5733547
REBORN,https://vibe.naver.com/track/18950541
Yummy (Feat. Crush) (Prod. By Cha Cha Malone),https://vibe.naver.com/track/27393631
End Of The Night,https://vibe.naver.com/track/42300581
도착,https://vibe.naver.com/track/41952205
Me like yuh (k) (Feat. Hoody),https://vibe.naver.com/track/6276641
All Day (Flex) (Feat. HAON (김하온) & 염따) (Prod. By OkayJJack),https://vibe.naver.com/track/27393630
곁에 있어주길,https://vibe.naver.com/track/8943928
ENGINE (엔.진) (Prod. By CODE KUNST),https://vibe.naver.com/track/25797985
"몸매 (MOMMAE) (Remix) (Feat. Crush, Simon Dominic, Honey Cocaine)",https://vibe.naver.com/track/5806374
Champagne Diet,https://vibe.naver.com/track/42300572
사실은 (The truth is),https://vibe.naver.com/track/6037193
"My Last (Feat. 로꼬, GRAY)",https://vibe.naver.com/track/5806361
오늘밤엔 (Feat. Ugly Duck),https://vibe.naver.com/track/28004385
